#,Title,Topic title,WI,Topic areas,AI,Moderator,Company,Summary AI,Notes,Samsung Major Responsibility,Work Level
351,NR_UAV,[118bis][351] NR_UAV,NR_UAV_req-Core,"Rel-20 UAV: General aspects, coexistence, UE RF requirements","7.7.2, 7.7.3, 7.7.4",Bin Han,Qualcomm,7.7.1,"
RRM part 7.7.5 is handled in RRM session.",Bozhi,Monitoring
352,A-IoT_sys_outdoor,[118bis][352] A-IoT_sys_outdoor,Ambient_IoT_Solutions_Ph2-Core,"System parameters, D4T1","7.17.2, 7.17.4, 7.17.5.1, 7.17.5.2, 7.17.5.3",Lin Ling,Huawei,7.17.1,RRM part 7.17.3 is handled in RRM session,Tina,Monitoring
352,A-IoT_indoor_test,[118bis][352] A-IoT_indoor_test,Ambient_IoT_Solutions_Ph2-Core,"D2T2 requirements, testing active devices","7.17.6.1, 7.17.6.2, 7.17.6.3, 7.17.6.4, 7.17.7",Huiping Shan,Xiaomi,7.17.1,RRM part 7.17.3 is handled in RRM session,Tina,Monitoring
 , , , , , , , , , , , 
6G SI, , , , , , , , , , , 
360,6G_BSRF_requirements,[118bis][360] 6G_BSRF_requirements,FS_6G_Radio,"6G BSRF: BS RF requirements, SAN RF requirements","8.4.1.1, 8.4.1.2, 8.4.1.3, 8.4.2.1, 8.4.2.2","Dominique Everaere
",Ericsson,8.1.1, ,Xin, 
361,6G_BSRF_coexistence_AAS,[118bis][361] 6G_BSRF_coexistence_AAS,FS_6G_Radio,"6G BSRF: Coexistence
AAS modeling below 1 GHz","8.4.3.1, 8.4.3.2, 8.4.3.3, 8.4.4, 8.4.5",Michal Szydelko,Huawei,8.1.1, ,Xin, 
362,6G_Sensing,[118bis][362] 6G_Sensing,FS_6G_Radio,6G BSRF: Sensing,"8.10.1, 8.10.2, 8.10.3, 8.10.4, 8.10.5, 8.10.6","Fei Xue
",ZTE,8.1.1, ,Xin, 
 , , , , , , , , , , , 
LS and RAN task, , , , , , , , , , , 
370,LS_BDaT,[118bis][370] LS_BDaT,BDaT LS,"LS response for BDaT
R18 related, R17, R16, R15 related, R19 related","11.2, 11.3 (BDaT related)",Aijun Cao,CATT,11.1, ,Jackson, 
