#,Title,Topic title,WI,Topic areas,AI,Moderator,Company,Summary AI,Notes,Moderator Summary,Samsung Major Responsibility,Work Level
329,New_CBW_5G_broadcast_over_GSO,[119][329] New_CBW_5G_broadcast_over_GSO,LTE_band_246_5G_bcast_GSO_BWs,Adding channel bandwidth support to existing LTE band for 5G broadcast for region 3 utilizing geosynchronous satellite,"5.12.1, 5.12.2, 5.12.3",Li Lu,ZTE,5.1,NWM or equivalent to be used,R4-2607228,N/A,
,,,,,,,,,,,,
Rel-20 UE RF,,,,,,,,,,,,
340,NR_UE_RF_Ph5,[119][340] NR_UE_RF_Ph5,NR_UE_RF_Ph5-Core,"Rel-20 UE RF:  General aspects, HPUE requirements","7.1.2, 7.1.4",Alok Sethi,Nokia,7.1.1,,R4-2607229,Tina / Bozhi,
341,NR_UE_RF_Ph5_Part2,[119][341] NR_UE_RF_Ph5_Part2,NR_UE_RF_Ph5-Core,"Rel-20 UE RF:  HPUE coexistence, 6 MHz CBW","7.1.3, 7.1.5.1, 7.1.5.2",Tina Zhang,Samsung,7.1.1,,R4-2607230,Tina / Bozhi,
342,NR_low_band_CA_switching,[119][342] NR_low_band_CA_switching,NR_LBCA_Sw_enh-Core,"Rel-20 LBCA: General aspects, UE RF","7.8.2, 7.8.3",James Wang,Apple,7.8.1,"
RRM part 7.8.4 is handled in RRM session",R4-2607231,Taekhoon,
343,NR_TDD_4.9GHz_band,[119][343] NR_TDD_4.9GHz_band,NR_TDD_band_4900MHz_US-Core,4.9 GHz band for US,5.9,Tsuyoshi Shimomura,1Finity,5.1,Work item on hold pending FCC feedback,#N/A,N/A,
344,NR_less_than_5MHz_RedCap_UERF,[119][344] NR_less_than_5MHz_RedCap_UERF,NR_RRM_Ph6-Core,Less than 5 MHz for (e)Redcap UERF,7.4.3.1,Kun Zhao,Sony,7.4.1,Only the formal CR is expected.  To be submitted at the same time RRM CR is ready for agreement.,#N/A,N/A,
,,,,,,,,,,,,
Rel-20 BS RF,,,,,,,,,,,,
345,NR_BS_RF_Ph2,[119][345] NR_BS_RF_Ph2,NR_BS_RF_req_evo_Ph2-Core,"Rel-20 BS RF: General aspects, Co-location, SBFD to SBFD coex","7.2.2, 7.2.3, 7.2.4",Torbjörn Elfström,Ericsson,7.2.1,,R4-2607232,Xin,
,,,,,,,,,,,,
Rel-20 NTN related,,,,,,,,,,,,
